air puff force (N),fitting,time (ms),,
0.00015251,0.00002437,0,0.02437,0.15251
0.000139711,0.00003266,0.229338,0.03266,0.139711
0.000453678,0.00004348,0.458676,0.04348,0.453678
0.000407466,0.0000575,0.688014,0.0575,0.407466
0.000654019,0.00007553,0.917352,0.07553,0.654019
0.000595902,0.00009855,1.14669,0.09855,0.595902
0.000544643,0.00012772,1.376028,0.12772,0.544643
0.000640509,0.00016441,1.605366,0.16441,0.640509
0.000657515,0.00021021,1.834704,0.21021,0.657515
0.000657515,0.00026695,2.064042,0.26695,0.657515
0.000765016,0.0003367,2.29338,0.3367,0.765016
0.000752405,0.00042179,2.522718,0.42179,0.752405
0.000770177,0.0005248,2.752056,0.5248,0.770177
0.000759338,0.00064853,2.981394,0.64853,0.759338
0.00075757,0.00079601,3.210732,0.79601,0.75757
0.000758465,0.00097042,3.44007,0.97042,0.758465
0.000980871,0.00117507,3.669408,1.17507,0.980871
0.001162803,0.00141334,3.898746,1.41334,1.162803
0.001217293,0.00168855,4.128084,1.68855,1.217293
0.001457088,0.00200395,4.357422,2.00395,1.457088
0.001772158,0.00236256,4.58676,2.36256,1.772158
0.002464526,0.00276708,4.816098,2.76708,2.464526
0.003179876,0.00321983,5.045436,3.21983,3.179876
0.003970077,0.00372256,5.274774,3.72256,3.970077
0.004905922,0.00427641,5.504112,4.27641,4.905922
0.005806404,0.00488185,5.73345,4.88185,5.806404
0.006270949,0.00553854,5.962788,5.53854,6.270949
0.006657969,0.00624536,6.192126,6.24536,6.657969
0.007227883,0.00700036,6.421464,7.00036,7.227883
0.007587106,0.00780079,6.650802,7.80079,7.587106
0.008232657,0.00864317,6.88014,8.64317,8.232657
0.009041198,0.00952335,7.109478,9.52335,9.041198
0.009843796,0.01043665,7.338816,10.43665,9.843796
0.010731827,0.01137799,7.568154,11.37799,10.731827
0.011960902,0.01234205,7.797492,12.34205,11.960902
0.01320943,0.01332348,8.02683,13.32348,13.20943
0.014446991,0.01431703,8.256168,14.31703,14.446991
0.015511856,0.01531778,8.485506,15.31778,15.511856
0.016693881,0.01632123,8.714844,16.32123,16.693881
0.017731348,0.01732349,8.944182,17.32349,17.731348
0.018759808,0.01832134,9.17352,18.32134,18.759808
0.01966734,0.0193123,9.402858,19.3123,19.66734
0.020529525,0.02029461,9.632196,20.29461,20.529525
0.021370243,0.02126719,9.861534,21.26719,21.370243
0.022184092,0.02222957,10.090872,22.22957,22.184092
0.023039722,0.02318175,10.32021,23.18175,23.039722
0.023678271,0.02412399,10.549548,24.12399,23.678271
0.024685086,0.02505665,10.778886,25.05665,24.685086
0.025747564,0.02597997,11.008224,25.97997,25.747564
0.026694669,0.02689385,11.237562,26.89385,26.694669
0.027783342,0.02779761,11.4669,27.79761,27.783342
0.028817709,0.02868985,11.696238,28.68985,28.817709
0.029650163,0.02956828,11.925576,29.56828,29.650163
0.030526145,0.03042957,12.154914,30.42957,30.526145
0.031517473,0.03126935,12.384252,31.26935,31.517473
0.032318315,0.03208216,12.61359,32.08216,32.318315
0.033183776,0.03286152,12.842928,32.86152,33.183776
0.033939094,0.03360001,13.072266,33.60001,33.939094
0.034691413,0.03428945,13.301604,34.28945,34.691413
0.035268015,0.03492109,13.530942,34.92109,35.268015
0.03556421,0.03548584,13.76028,35.48584,35.56421
0.036155692,0.0359745,13.989618,35.9745,36.155692
0.036250419,0.03637811,14.218956,36.37811,36.250419
0.03627974,0.03668815,14.448294,36.68815,36.27974
0.036229778,0.03689683,14.677632,36.89683,36.229778
0.036311618,0.03699737,14.90697,36.99737,36.311618
0.036124545,0.03698417,15.136308,36.98417,36.124545
0.036047928,0.03685305,15.365646,36.85305,36.047928
0.036174633,0.03660136,15.594984,36.60136,36.174633
0.035950653,0.03622807,15.824322,36.22807,35.950653
0.035739777,0.03573388,16.05366,35.73388,35.739777
0.035298985,0.03512114,16.282998,35.12114,35.298985
0.034982921,0.0343939,16.512336,34.3939,34.982921
0.034280285,0.03355775,16.741674,33.55775,34.280285
0.033479592,0.03261975,16.971012,32.61975,33.479592
0.032468938,0.03158825,17.20035,31.58825,32.468938
0.031236985,0.03047271,17.429688,30.47271,31.236985
0.030056363,0.02928351,17.659026,29.28351,30.056363
0.028610668,0.02803171,17.888364,28.03171,28.610668
0.027010678,0.02672886,18.117702,26.72886,27.010678
0.025496873,0.02538675,18.34704,25.38675,25.496873
0.023608269,0.0240172,18.576378,24.0172,23.608269
0.022127848,0.02263188,18.805716,22.63188,22.127848
0.020582417,0.02124205,19.035054,21.24205,20.582417
0.019157216,0.01985849,19.264392,19.85849,19.157216
0.01781978,0.01849125,19.49373,18.49125,17.81978
0.016417439,0.0171496,19.723068,17.1496,16.417439
0.01524824,0.0158419,19.952406,15.8419,15.24824
0.014176469,0.01457553,20.181744,14.57553,14.176469
0.013192156,0.01335683,20.411082,13.35683,13.192156
0.01216733,0.01219112,20.64042,12.19112,12.16733
0.010942166,0.01108265,20.869758,11.08265,10.942166
0.010136526,0.01003468,21.099096,10.03468,10.136526
0.009094008,0.00904944,21.328434,9.04944,9.094008
0.008155221,0.00812827,21.557772,8.12827,8.155221
0.007360624,0.00727164,21.78711,7.27164,7.360624
0.006564687,0.00647925,22.016448,6.47925,6.564687
0.005833524,0.00575008,22.245786,5.75008,5.833524
0.005225367,0.00508254,22.475124,5.08254,5.225367
0.004484329,0.0044745,22.704462,4.4745,4.484329
0.003667173,0.00392342,22.9338,3.92342,3.667173
0.003073531,0.00342644,23.163138,3.42644,3.073531
0.002576892,0.00298042,23.392476,2.98042,2.576892
0.002016842,0.00258207,23.621814,2.58207,2.016842
0.001875743,0.002228,23.851152,2.228,1.875743
0.001746642,0.00191478,24.08049,1.91478,1.746642
0.001611763,0.00163901,24.309828,1.63901,1.611763
0.001445376,0.00139733,24.539166,1.39733,1.445376
0.001592306,0.00118651,24.768504,1.18651,1.592306
0.00174825,0.00100347,24.997842,1.00347,1.74825
0.001962292,0.00084526,25.22718,0.84526,1.962292
0.002003688,0.00070915,25.456518,0.70915,2.003688
0.002042398,0.00059257,25.685856,0.59257,2.042398
0.002200161,0.00049317,25.915194,0.49317,2.200161
0.002213759,0.0004088,26.144532,0.4088,2.213759
0.001872487,0.0003375,26.37387,0.3375,1.872487
0.001907109,0.00027753,26.603208,0.27753,1.907109
0.001663585,0.0002273,26.832546,0.2273,1.663585
0.00136412,0.00018541,27.061884,0.18541,1.36412
0.001173708,0.00015064,27.291222,0.15064,1.173708
0.000859831,0.00012189,27.52056,0.12189,0.859831
0.000820732,0.00009824,27.749898,0.09824,0.820732
0.000761325,0.00007886,27.979236,0.07886,0.761325
0.000643263,0.00006305,28.208574,0.06305,0.643263
0.000657564,0.00005021,28.437912,0.05021,0.657564
0.000656701,0.00003982,28.66725,0.03982,0.656701
0.000771622,0.00003146,28.896588,0.03146,0.771622
0.001107546,0.00002475,29.125926,0.02475,1.107546
0.001166657,0.00001939,29.355264,0.01939,1.166657
0.001168524,0.00001514,29.584602,0.01514,1.168524
0.001398626,0.00001177,29.81394,0.01177,1.398626
0.001259389,0.00000911,30.043278,0.00911,1.259389
0.001355242,0.00000702,30.272616,0.00702,1.355242
0.00132611,0.0000054,30.501954,0.0054,1.32611
0.001138061,0.00000413,30.731292,0.00413,1.138061
0.001061393,0.00000314,30.96063,0.00314,1.061393
0.00107509,0.00000239,31.189968,0.00239,1.07509
0.000861145,0.0000018,31.419306,0.0018,0.861145
0.000752374,0.00000136,31.648644,0.00136,0.752374
